type_vehicule;cv;borne_inf;borne_sup;montant_par_km;add_indemn
Automobile;3;0;5000;0.41;0
Automobile;3;5001;20000;0.245;824
Automobile;3;20001;999999;0.286;0
Automobile;4;0;5000;0.493;0
Automobile;4;5001;20000;0.277;1082
Automobile;4;20001;999999;0.332;0
Automobile;5;0;5000;0.543;0
Automobile;5;5001;20000;0.305;1188
Automobile;5;20001;999999;0.364;0
Automobile;6;0;5000;0.568;0
Automobile;6;5001;20000;0.32;1244
Automobile;6;20001;999999;0.382;0
Automobile;7;0;5000;0.595;0
Automobile;7;5001;20000;0.337;1288
Automobile;7;20001;999999;0.401;0
Automobile;8;0;5000;0.595;0
Automobile;8;5001;20000;0.337;1288
Automobile;8;20001;999999;0.401;0
Automobile;9;0;5000;0.595;0
Automobile;9;5001;20000;0.337;1288
Automobile;9;20001;999999;0.401;0
Automobile;10;0;5000;0.595;0
Automobile;10;5001;20000;0.337;1288
Automobile;10;20001;999999;0.401;0
Automobile;11;0;5000;0.595;0
Automobile;11;5001;20000;0.337;1288
Automobile;11;20001;999999;0.401;0
Automobile;12;0;5000;0.595;0
Automobile;12;5001;20000;0.337;1288
Automobile;12;20001;999999;0.401;0
Automobile;13;0;5000;0.595;0
Automobile;13;5001;20000;0.337;1288
Automobile;13;20001;999999;0.401;0
Motocyclette;1;0;3000;0.338;0
Motocyclette;1;3001;6000;0.084;760
Motocyclette;1;6000;999999;0.211;0
Motocyclette;2;0;3000;0.338;0
Motocyclette;2;3001;6000;0.084;760
Motocyclette;2;6000;999999;0.211;0
Motocyclette;3;0;3000;0.4;0
Motocyclette;3;3001;6000;0.07;989
Motocyclette;3;6000;999999;0.235;0
Motocyclette;4;0;3000;0.4;0
Motocyclette;4;3001;6000;0.07;989
Motocyclette;4;6000;999999;0.235;0
Motocyclette;5;0;3000;0.4;0
Motocyclette;5;3001;6000;0.07;989
Motocyclette;5;6000;999999;0.235;0
Motocyclette;6;0;3000;0.518;0
Motocyclette;6;3001;6000;0.067;1351
Motocyclette;6;6000;999999;0.292;0
Cyclomoteur;1;0;3000;0.269;0
Cyclomoteur;1;3001;6000;0.063;412
Cyclomoteur;1;6000;999999;0.146;0
